id    | role    | slots                          | source                                   | destination                              | 
226   | rider   |                         [8, 9] | (-121.95568931568313, 37.53010910595075) | (-122.08606095077893, 37.385273609290955) | 
227   | driver  |                      [7, 8, 9] | (-121.95515610094084, 37.53671429967244) | (-122.12698090074576, 37.494197718377585) | 
228   | driver  |                    [9, 10, 11] | (-122.00656583914873, 37.55476929639639) | (-122.14914948209896, 37.46642387698783) | 
229   | driver  |                        [9, 10] | (-122.00518554256507, 37.55613067835478) | (-122.23223483524825, 37.48954270164749) | 
230   | driver  |                      [4, 5, 6] | (-122.00678189466134, 37.55824045990104) | (-122.24697206840345, 37.48935749563267) | 
231   | driver  |                      [7, 8, 9] | (-122.0060643099068, 37.56245339617962) | (-122.24774271005045, 37.47814674876732) | 
232   | rider   |     [8, 9, 10, 11, 12, 13, 14] | (-121.93854151485864, 37.50462320353594) | (-122.08415116777184, 37.35354405176717) | 
233   | rider   |                [4, 5, 6, 7, 8] | (-121.95772276796747, 37.53309545290973) | (-122.24087280238395, 37.5289507164596) | 
234   | driver  |                      [4, 5, 6] | (-121.94004188667223, 37.50212882261642) | (-122.21878523242081, 37.4824743073765) | 
235   | driver  |                [9, 10, 11, 12] | (-121.95258082806482, 37.53717825046815) | (-122.24633086139242, 37.473921001411945) | 
236   | rider   |                   [5, 6, 7, 8] | (-121.97744851317745, 37.55872417490605) | (-122.17683242353287, 37.49635091609412) | 
237   | rider   |                         [6, 7] | (-121.97966516810547, 37.559486192077266) | (-122.11650003794956, 37.441681240220746) | 
238   | rider   |                  [7, 8, 9, 10] | (-121.94029916406095, 37.500777593784385) | (-122.23642223135792, 37.477119135934196) | 
239   | rider   |                [4, 5, 6, 7, 8] | (-121.9797509842565, 37.55648141479019) | (-122.09063308825576, 37.37642918999586) | 
240   | driver  |                   [6, 7, 8, 9] | (-121.97428774602271, 37.561125365964514) | (-122.12615793129525, 37.45942197042137) | 
241   | driver  |                      [7, 8, 9] | (-122.00486278026759, 37.558824922005385) | (-122.07197512851873, 37.38751514961127) | 
242   | rider   |                            [9] | (-122.00710637299532, 37.55558388646165) | (-122.1148579083953, 37.368729465305314) | 
243   | driver  |                       [10, 11] | (-122.00909741752398, 37.55754601908212) | (-122.14198078604362, 37.44063291038241) | 
244   | rider   |                         [5, 6] | (-121.97267074035301, 37.55767409855478) | (-122.24214588511768, 37.4465310557226) | 
245   | rider   |                         [5, 6] | (-121.95403572435235, 37.52768993092333) | (-122.22124146348551, 37.486595309085544) | 
246   | driver  |                       [10, 11] | (-121.95490683975903, 37.53010369056613) | (-122.15166425636681, 37.474676376861176) | 
247   | driver  |                           [10] | (-121.94807435897094, 37.527552131975256) | (-122.13421220519572, 37.440319559061734) | 
248   | rider   |                    [9, 10, 11] | (-122.00835224648452, 37.55711497149634) | (-122.12606497411443, 37.50474859195997) | 
249   | rider   |                      [4, 5, 6] | (-121.95326506439632, 37.531206203353854) | (-122.0851824223129, 37.39592596949683) | 
250   | rider   |  [7, 8, 9, 10, 11, 12, 13, 14] | (-122.0005565272706, 37.561296965869026) | (-122.17079078040513, 37.440259038092336) | 
251   | rider   |                            [5] | (-121.97580863665334, 37.55794401271888) | (-122.14901612274272, 37.46139326946005) | 
252   | rider   |                   [3, 4, 5, 6] | (-121.95428692405274, 37.53632274646298) | (-122.09060501767162, 37.40006514109186) | 
253   | driver  |                            [2] | (-121.95105986933812, 37.52821765587784) | (-122.23202521487025, 37.5147397998889) | 
254   | rider   |                   [6, 7, 8, 9] | (-121.95627083739649, 37.53206293560619) | (-122.13777780415398, 37.479369510747176) | 
255   | driver  |                  [7, 8, 9, 10] | (-121.95354977518873, 37.53205048837065) | (-122.07286782902737, 37.39979124537563) | 
256   | driver  |     [4, 5, 6, 7, 8, 9, 10, 11] | (-121.9771518008836, 37.55734474966879) | (-122.25271637186923, 37.463735579979414) | 
257   | rider   |                     [8, 9, 10] | (-122.00898598748712, 37.55326934836133) | (-122.23104851727706, 37.48647117592452) | 
258   | rider   |                   [4, 5, 6, 7] | (-121.94514214257464, 37.49918999096635) | (-122.10825254365513, 37.377566726414024) | 
259   | rider   |                     [8, 9, 10] | (-122.01037663542512, 37.561409511464305) | (-122.22842995169609, 37.46344014851182) | 
260   | rider   |                   [4, 5, 6, 7] | (-122.00247496026503, 37.562113413017215) | (-122.22186727688108, 37.48179164716148) | 
261   | rider   |                        [9, 10] | (-122.00364514608614, 37.55791718095262) | (-122.2356418846879, 37.48798602879549) | 
262   | rider   |                            [6] | (-122.00204790990706, 37.559624384369314) | (-122.2123793448614, 37.49414873451646) | 
263   | rider   |                         [6, 7] | (-121.95179044203697, 37.53554038916396) | (-122.24619412327611, 37.47783186951566) | 
264   | rider   |                         [1, 2] | (-122.0056702473958, 37.558421401305715) | (-122.22862451042852, 37.50517028991596) | 
265   | driver  |                     [8, 9, 10] | (-121.97820624576691, 37.55761747976452) | (-122.25223655166963, 37.49080212925634) | 
266   | driver  |                   [6, 7, 8, 9] | (-121.97813881611636, 37.56364337689127) | (-122.15148982623009, 37.44288453867425) | 
267   | driver  |                   [3, 4, 5, 6] | (-121.95301855668303, 37.53202574247303) | (-122.07954147060256, 37.35800131655545) | 
268   | driver  |                   [4, 5, 6, 7] | (-121.95105245799178, 37.53289929971945) | (-122.255631813985, 37.46647533026472) | 
269   | rider   |                      [3, 4, 5] | (-122.00723216739154, 37.559283097213104) | (-122.13635895826759, 37.4796179189027) | 
270   | driver  |                   [11, 12, 13] | (-122.00723031754983, 37.558132749656934) | (-122.26262865638104, 37.46850863811221) | 
271   | driver  |                      [4, 5, 6] | (-121.97618804310065, 37.55879308475737) | (-122.15191734883837, 37.49039313287077) | 
272   | rider   |                [9, 10, 11, 12] | (-121.95288853311514, 37.5319226159537) | (-122.11060636820596, 37.370501286235836) | 
273   | driver  |                [3, 4, 5, 6, 7] | (-121.95906585640482, 37.53598012059228) | (-122.07393492591909, 37.387075065273585) | 
274   | driver  |                            [9] | (-122.00324676466879, 37.55483309899336) | (-122.10987252977176, 37.467187498434804) | 
275   | rider   |                            [9] | (-122.00419604020337, 37.55217285584376) | (-122.11143717060537, 37.455274717726965) | 
276   | rider   |                           [10] | (-121.95512419335638, 37.53251088520046) | (-122.23805193102217, 37.518947104086486) | 
277   | rider   |                 [8, 9, 10, 11] | (-121.97750967602263, 37.557904708187266) | (-122.23630797071434, 37.46533937972829) | 
278   | rider   |               [10, 11, 12, 13] | (-121.94348025579943, 37.505712118790484) | (-122.17739088037935, 37.4745480366875) | 
279   | rider   |                     [8, 9, 10] | (-121.93602054840376, 37.50269470726837) | (-122.06020957528847, 37.363020101109576) | 
280   | rider   |                      [2, 3, 4] | (-121.93670705265316, 37.50264247297796) | (-122.19674893235765, 37.46989257399484) | 
281   | rider   |                      [7, 8, 9] | (-122.00468711338992, 37.563291999053526) | (-122.22554195154706, 37.49713512105718) | 
282   | driver  |                         [8, 9] | (-121.97712358810443, 37.55799707354307) | (-122.13864541685373, 37.47401811376546) | 
283   | driver  |                [4, 5, 6, 7, 8] | (-121.94861983775569, 37.53161569138884) | (-122.09133720465898, 37.36616500663354) | 
284   | rider   |                 [8, 9, 10, 11] | (-121.95153461615706, 37.52991594092174) | (-122.07492198078815, 37.41487235024581) | 
285   | rider   |                   [6, 7, 8, 9] | (-121.95044921902584, 37.5319229425235) | (-122.19469850088606, 37.47312912674103) | 
286   | driver  |                        [9, 10] | (-121.95319254287412, 37.53232238016496) | (-122.15179738186191, 37.47583158486255) | 
287   | rider   |                   [6, 7, 8, 9] | (-121.95107663413306, 37.53171865313242) | (-122.23023898741815, 37.49073482937194) | 
288   | driver  |                   [3, 4, 5, 6] | (-121.95304341812489, 37.53179296043685) | (-122.12576931461432, 37.497172905141596) | 
289   | rider   |                   [5, 6, 7, 8] | (-121.97711687755702, 37.560146493018614) | (-122.13676576385132, 37.460556129776336) | 
290   | rider   |                   [5, 6, 7, 8] | (-121.93929657724094, 37.50796709043798) | (-122.14294707639307, 37.46623579800619) | 
291   | driver  |                      [6, 7, 8] | (-122.00972061947067, 37.560109175181225) | (-122.18327461807596, 37.4615100315784) | 
292   | driver  |                            [8] | (-121.95665089119758, 37.53565083173529) | (-122.23529249588422, 37.50344310860349) | 
293   | rider   |         [8, 9, 10, 11, 12, 13] | (-121.97542700915376, 37.55847413984198) | (-122.07913065587474, 37.41658226548003) | 
294   | driver  |                         [6, 7] | (-121.9747682901518, 37.55529263055782) | (-122.22776340602236, 37.47444719913325) | 
295   | driver  |                 [8, 9, 10, 11] | (-122.00932010564787, 37.554106149524955) | (-122.23329899478739, 37.48321098394089) | 
296   | driver  |                           [12] | (-121.97554382815514, 37.559457525846014) | (-122.07419580513466, 37.403923027820355) | 
297   | rider   |              [7, 8, 9, 10, 11] | (-121.97209279443503, 37.56162952294626) | (-122.0782688069091, 37.39087993673708) | 
298   | rider   |                      [3, 4, 5] | (-121.93739896886093, 37.50190858890163) | (-122.134678053211, 37.498472013404104) | 
299   | driver  |                    [9, 10, 11] | (-121.94182249292139, 37.505324849296755) | (-122.26209115641393, 37.495152951406766) | 
300   | rider   |                        [9, 10] | (-121.93904599505201, 37.50455266121731) | (-122.12338571515835, 37.45052520853239) | 
301   | rider   |                   [11, 12, 13] | (-121.942913824267, 37.507082281159406) | (-122.2044292043972, 37.48788380365295) | 
302   | rider   |                [2, 3, 4, 5, 6] | (-121.94298783114003, 37.49799164047114) | (-122.24229067811991, 37.478371573120725) | 
303   | rider   |                         [8, 9] | (-121.97629526770449, 37.55865577499932) | (-122.17156434587648, 37.48348794148937) | 
304   | driver  |                 [8, 9, 10, 11] | (-121.9396394927161, 37.50217874342912) | (-122.23926179922036, 37.46362459987089) | 
305   | driver  |                           [10] | (-121.9564374121148, 37.527292195067524) | (-122.25739456653308, 37.50019622525313) | 
306   | rider   |                         [6, 7] | (-121.9392255894328, 37.50302069040506) | (-122.12661237179952, 37.46665331865822) | 
307   | rider   |       [6, 7, 8, 9, 10, 11, 12] | (-121.95255265202579, 37.538708680462) | (-122.23521347316643, 37.48801314047757) | 
308   | rider   |                      [6, 7, 8] | (-122.0105629560884, 37.55297144305896) | (-122.17455155342145, 37.49989619051228) | 
309   | rider   |                   [10, 11, 12] | (-121.97489244187011, 37.55821230946219) | (-122.2386470375791, 37.49344873924324) | 
310   | rider   |                  [7, 8, 9, 10] | (-122.0008020085994, 37.55425767415158) | (-122.23995602098724, 37.482972506623604) | 
311   | rider   |          [1, 2, 3, 4, 5, 6, 7] | (-122.00702914030403, 37.55546408124746) | (-122.0568207625723, 37.38563974869403) | 
312   | rider   |                         [4, 5] | (-122.0093236875386, 37.5616184714818) | (-122.07747676395401, 37.370750745732096) | 
313   | rider   |                      [5, 6, 7] | (-121.9518053817913, 37.53824166538446) | (-122.11440446419188, 37.485185804513684) | 
314   | driver  |                   [4, 5, 6, 7] | (-121.94287241224046, 37.50230623618757) | (-122.04644386634187, 37.38608171914298) | 
315   | driver  |                       [10, 11] | (-122.00382326868754, 37.55356188398303) | (-122.23641067701296, 37.48793426960192) | 
316   | rider   |                      [2, 3, 4] | (-121.93451802536025, 37.504885308784175) | (-122.08794193719929, 37.427473637316815) | 
317   | driver  |                       [10, 11] | (-122.00590828024357, 37.55847461866913) | (-122.08870359547066, 37.38165169107453) | 
318   | rider   |     [4, 5, 6, 7, 8, 9, 10, 11] | (-122.00871326845399, 37.551318269633434) | (-122.22079990132015, 37.454718195641746) | 
319   | rider   |                       [13, 14] | (-121.94632291771137, 37.53297484455314) | (-122.15432270813379, 37.47072703378693) | 
320   | rider   |             [2, 3, 4, 5, 6, 7] | (-122.00771628999968, 37.55775760427929) | (-122.07142254389636, 37.380077425886206) | 
321   | rider   |                           [11] | (-121.95883595947988, 37.53497456512389) | (-122.129011752969, 37.46937795567905) | 
322   | rider   |                         [4, 5] | (-121.97429591092562, 37.56415532071205) | (-122.10571290897005, 37.46588354304831) | 
323   | rider   |         [4, 5, 6, 7, 8, 9, 10] | (-121.97515179654809, 37.555503771865034) | (-122.2375837235362, 37.48299760237348) | 
324   | rider   |                       [11, 12] | (-122.00415226941777, 37.56134552271758) | (-122.07666610749308, 37.345425209999064) | 
325   | driver  |           [10, 11, 12, 13, 14] | (-121.94117418237121, 37.50005265289241) | (-122.15446360213471, 37.42825577641744) | 
